        CMP   3DT_SEC_ORD_CELCTR  3DT_PRIM_ORD_CELCTR    XCORD_CELL_CENTER    YCORD_CELL_CENTER STACK_WORD
      83801             1001.000             5021.000           500500.000          6700000.000         10
      83802             1001.000             5022.000           500525.000          6700000.000          7
      83803             1001.000             5023.000           500550.000          6700000.000         10
      83804             1001.000             5024.000           500575.000          6700000.000          9
      83805             1001.000             5025.000           500600.000          6700000.000          8
      83806             1001.000             5026.000           500625.000          6700000.000          6
      83807             1001.000             5027.000           500650.000          6700000.000          8
      83808             1001.000             5028.000           500675.000          6700000.000          8
      83809             1001.000             5029.000           500700.000          6700000.000         10
      83810             1001.000             5030.000           500725.000          6700000.000          7
      83811             1001.000             5031.000           500750.000          6700000.000          8
      83812             1001.000             5032.000           500775.000          6700000.000          9
      83813             1001.000             5033.000           500800.000          6700000.000          7
      83814             1001.000             5034.000           500825.000          6700000.000          8
      83815             1001.000             5035.000           500850.000          6700000.000          8
      83816             1001.000             5036.000           500875.000          6700000.000          6
      83817             1001.000             5037.000           500900.000          6700000.000         10
      83818             1001.000             5038.000           500925.000          6700000.000         10
      83819             1001.000             5039.000           500950.000          6700000.000          7
      83820             1001.000             5040.000           500975.000          6700000.000          9
      83821             1001.000             5041.000           501000.000          6700000.000         10
      83822             1001.000             5042.000           501025.000          6700000.000          8
      83823             1001.000             5043.000           501050.000          6700000.000          7
      83824             1001.000             5044.000           501075.000          6700000.000          7
      83825             1001.000             5045.000           501100.000          6700000.000          8
      83826             1001.000             5046.000           501125.000          6700000.000          9
      83827             1001.000             5047.000           501150.000          6700000.000          9
      83828             1001.000             5048.000           501175.000          6700000.000          9
      83829             1001.000             5049.000           501200.000          6700000.000          7
      83830             1001.000             5050.000           501225.000          6700000.000         10
      83831             1001.000             5051.000           501250.000          6700000.000          6
      83832             1001.000             5052.000           501275.000          6700000.000         10
      83833             1001.000             5053.000           501300.000          6700000.000          9
      83834             1001.000             5054.000           501325.000          6700000.000         10
      83835             1001.000             5055.000           501350.000          6700000.000          6
      83836             1001.000             5056.000           501375.000          6700000.000          9
      83837             1001.000             5057.000           501400.000          6700000.000          9
      83838             1001.000             5058.000           501425.000          6700000.000          9
      83839             1001.000             5059.000           501450.000          6700000.000         10
      83840             1001.000             5060.000           501475.000          6700000.000         10
      83841             1001.000             5061.000           501500.000          6700000.000          9
      83842             1001.000             5062.000           501525.000          6700000.000          6
      83843             1001.000             5063.000           501550.000          6700000.000          9
      83844             1001.000             5064.000           501575.000          6700000.000         10
      83845             1001.000             5065.000           501600.000          6700000.000         10
      83846             1001.000             5066.000           501625.000          6700000.000          7
      83847             1001.000             5067.000           501650.000          6700000.000          8
      83848             1001.000             5068.000           501675.000          6700000.000          8
      83849             1001.000             5069.000           501700.000          6700000.000          7
