        CMP   3DT_SEC_ORD_CELCTR  3DT_PRIM_ORD_CELCTR    XCORD_CELL_CENTER    YCORD_CELL_CENTER STACK_WORD
      83801             1001.000             5035.000           500850.000          6700000.000          6
      83802             1001.000             5036.000           500875.000          6700000.000         10
      83803             1001.000             5037.000           500900.000          6700000.000         10
      83804             1001.000             5038.000           500925.000          6700000.000          8
      83805             1001.000             5039.000           500950.000          6700000.000         10
      83806             1001.000             5040.000           500975.000          6700000.000         10
      83807             1001.000             5041.000           501000.000          6700000.000         10
      83808             1001.000             5042.000           501025.000          6700000.000          7
      83809             1001.000             5043.000           501050.000          6700000.000          8
      83810             1001.000             5044.000           501075.000          6700000.000          7
      83811             1001.000             5045.000           501100.000          6700000.000          7
      83812             1001.000             5046.000           501125.000          6700000.000         10
      83813             1001.000             5047.000           501150.000          6700000.000         10
      83814             1001.000             5048.000           501175.000          6700000.000          6
      83815             1001.000             5049.000           501200.000          6700000.000         10
      83816             1001.000             5050.000           501225.000          6700000.000          6
      83817             1001.000             5051.000           501250.000          6700000.000          7
      83818             1001.000             5052.000           501275.000          6700000.000          7
      83819             1001.000             5053.000           501300.000          6700000.000         10
      83820             1001.000             5054.000           501325.000          6700000.000          9
      83821             1001.000             5055.000           501350.000          6700000.000         10
      83822             1001.000             5056.000           501375.000          6700000.000          9
      83823             1001.000             5057.000           501400.000          6700000.000         10
      83824             1001.000             5058.000           501425.000          6700000.000          6
      83825             1001.000             5059.000           501450.000          6700000.000          9
      83826             1001.000             5060.000           501475.000          6700000.000         10
      83827             1001.000             5061.000           501500.000          6700000.000          9
      83828             1001.000             5062.000           501525.000          6700000.000          8
      83829             1001.000             5063.000           501550.000          6700000.000         10
      83830             1001.000             5064.000           501575.000          6700000.000          9
      83831             1001.000             5065.000           501600.000          6700000.000          7
      83832             1001.000             5066.000           501625.000          6700000.000          9
      83833             1001.000             5067.000           501650.000          6700000.000          9
      83834             1001.000             5068.000           501675.000          6700000.000         10
      83835             1001.000             5069.000           501700.000          6700000.000          6
      83836             1001.000             5070.000           501725.000          6700000.000          6
      83837             1001.000             5071.000           501750.000          6700000.000         10
      83838             1001.000             5072.000           501775.000          6700000.000          7
      83839             1001.000             5073.000           501800.000          6700000.000          8
      83840             1001.000             5074.000           501825.000          6700000.000         10
      83841             1001.000             5075.000           501850.000          6700000.000          6
      83842             1001.000             5076.000           501875.000          6700000.000         10
      83843             1001.000             5077.000           501900.000          6700000.000          8
      83844             1001.000             5078.000           501925.000          6700000.000          9
      83845             1001.000             5079.000           501950.000          6700000.000          9
      83846             1001.000             5080.000           501975.000          6700000.000          7
      83847             1001.000             5081.000           502000.000          6700000.000          6
      83848             1001.000             5082.000           502025.000          6700000.000          8
      83849             1001.000             5083.000           502050.000          6700000.000          6
      83850             1001.000             5084.000           502075.000          6700000.000         10
      83851             1001.000             5085.000           502100.000          6700000.000          6
      83852             1001.000             5086.000           502125.000          6700000.000          6
      83853             1001.000             5087.000           502150.000          6700000.000          8
      83854             1001.000             5088.000           502175.000          6700000.000          9
      83855             1001.000             5089.000           502200.000          6700000.000          6
      83856             1001.000             5090.000           502225.000          6700000.000          7
      83857             1001.000             5091.000           502250.000          6700000.000          7
      83858             1001.000             5092.000           502275.000          6700000.000          8
      83859             1001.000             5093.000           502300.000          6700000.000          8
      83860             1001.000             5094.000           502325.000          6700000.000          8
      83861             1001.000             5095.000           502350.000          6700000.000         10
      83862             1001.000             5096.000           502375.000          6700000.000         10
      83863             1001.000             5097.000           502400.000          6700000.000          7
      83864             1001.000             5098.000           502425.000          6700000.000          8
      83865             1001.000             5099.000           502450.000          6700000.000          7
      83866             1001.000             5100.000           502475.000          6700000.000          8
      83867             1001.000             5101.000           502500.000          6700000.000          7
      83868             1001.000             5102.000           502525.000          6700000.000          7
      83869             1001.000             5103.000           502550.000          6700000.000          6
      83870             1001.000             5104.000           502575.000          6700000.000         10
      83871             1001.000             5105.000           502600.000          6700000.000          6
      83872             1001.000             5106.000           502625.000          6700000.000          8
      83873             1001.000             5107.000           502650.000          6700000.000          6
      83874             1001.000             5108.000           502675.000          6700000.000          7
      83875             1001.000             5109.000           502700.000          6700000.000         10
      83876             1001.000             5110.000           502725.000          6700000.000          8
      83877             1001.000             5111.000           502750.000          6700000.000          9
      83878             1001.000             5112.000           502775.000          6700000.000          7
      83879             1001.000             5113.000           502800.000          6700000.000          7
      83880             1001.000             5114.000           502825.000          6700000.000          7
      83881             1001.000             5115.000           502850.000          6700000.000         10
      83882             1001.000             5116.000           502875.000          6700000.000          7
      83883             1001.000             5117.000           502900.000          6700000.000          7
      83884             1001.000             5118.000           502925.000          6700000.000          8
      83885             1001.000             5119.000           502950.000          6700000.000          9
      83886             1001.000             5120.000           502975.000          6700000.000          7
      83887             1001.000             5121.000           503000.000          6700000.000          8
      83888             1001.000             5122.000           503025.000          6700000.000          8
      83889             1001.000             5123.000           503050.000          6700000.000         10
      83890             1001.000             5124.000           503075.000          6700000.000          8
      83891             1001.000             5125.000           503100.000          6700000.000          7
      83892             1001.000             5126.000           503125.000          6700000.000          9
      83893             1001.000             5127.000           503150.000          6700000.000          7
      83894             1001.000             5128.000           503175.000          6700000.000          7
      83895             1001.000             5129.000           503200.000          6700000.000          7
      83896             1001.000             5130.000           503225.000          6700000.000          6
      83897             1001.000             5131.000           503250.000          6700000.000          6
      83898             1001.000             5132.000           503275.000          6700000.000          6
      83899             1001.000             5133.000           503300.000          6700000.000         10
      83900             1001.000             5134.000           503325.000          6700000.000         10
      83901             1001.000             5135.000           503350.000          6700000.000          7
      83902             1001.000             5136.000           503375.000          6700000.000          7
      83903             1001.000             5137.000           503400.000          6700000.000          8
      83904             1001.000             5138.000           503425.000          6700000.000          9
      83905             1001.000             5139.000           503450.000          6700000.000          6
      83906             1001.000             5140.000           503475.000          6700000.000          6
      83907             1001.000             5141.000           503500.000          6700000.000         10
      83908             1001.000             5142.000           503525.000          6700000.000          8
      83909             1001.000             5143.000           503550.000          6700000.000          8
      83910             1001.000             5144.000           503575.000          6700000.000         10
      83911             1001.000             5145.000           503600.000          6700000.000          6
      83912             1001.000             5146.000           503625.000          6700000.000          6
      83913             1001.000             5147.000           503650.000          6700000.000          9
      83914             1001.000             5148.000           503675.000          6700000.000          8
      83915             1001.000             5149.000           503700.000          6700000.000          6
      83916             1001.000             5150.000           503725.000          6700000.000         10
      83917             1001.000             5151.000           503750.000          6700000.000          9
      83918             1001.000             5152.000           503775.000          6700000.000          8
      83919             1001.000             5153.000           503800.000          6700000.000         10
      83920             1001.000             5154.000           503825.000          6700000.000          8
      83921             1001.000             5155.000           503850.000          6700000.000          8
      83922             1001.000             5156.000           503875.000          6700000.000          7
      83923             1001.000             5157.000           503900.000          6700000.000          6
      83924             1001.000             5158.000           503925.000          6700000.000          9
      83925             1001.000             5159.000           503950.000          6700000.000          8
      83926             1001.000             5160.000           503975.000          6700000.000          9
      83927             1002.000             5035.000           500850.000          6700025.000         10
      83928             1002.000             5036.000           500875.000          6700025.000         13
      83929             1002.000             5037.000           500900.000          6700025.000         15
      83930             1002.000             5038.000           500925.000          6700025.000         14
      83931             1002.000             5039.000           500950.000          6700025.000         14
      83932             1002.000             5040.000           500975.000          6700025.000         16
      83933             1002.000             5041.000           501000.000          6700025.000         12
      83934             1002.000             5042.000           501025.000          6700025.000         14
      83935             1002.000             5043.000           501050.000          6700025.000         12
      83936             1002.000             5044.000           501075.000          6700025.000         13
      83937             1002.000             5045.000           501100.000          6700025.000         13
      83938             1002.000             5046.000           501125.000          6700025.000         15
      83939             1002.000             5047.000           501150.000          6700025.000         16
      83940             1002.000             5048.000           501175.000          6700025.000         12
