        CMP   3DT_SEC_ORD_CELCTR  3DT_PRIM_ORD_CELCTR    XCORD_CELL_CENTER    YCORD_CELL_CENTER STACK_WORD
      83801             1001.000             5023.000           500550.000          6700000.000          7
      83802             1001.000             5024.000           500575.000          6700000.000          9
      83803             1001.000             5025.000           500600.000          6700000.000          9
      83804             1001.000             5026.000           500625.000          6700000.000          8
      83805             1001.000             5027.000           500650.000          6700000.000          7
      83806             1001.000             5028.000           500675.000          6700000.000          6
      83807             1001.000             5029.000           500700.000          6700000.000         10
      83808             1001.000             5030.000           500725.000          6700000.000         10
      83809             1001.000             5031.000           500750.000          6700000.000          6
      83810             1001.000             5032.000           500775.000          6700000.000          9
      83811             1001.000             5033.000           500800.000          6700000.000         10
      83812             1001.000             5034.000           500825.000          6700000.000          6
      83813             1001.000             5035.000           500850.000          6700000.000         10
      83814             1001.000             5036.000           500875.000          6700000.000          9
      83815             1001.000             5037.000           500900.000          6700000.000          8
      83816             1001.000             5038.000           500925.000          6700000.000          6
      83817             1001.000             5039.000           500950.000          6700000.000          8
      83818             1001.000             5040.000           500975.000          6700000.000          6
      83819             1001.000             5041.000           501000.000          6700000.000          6
      83820             1001.000             5042.000           501025.000          6700000.000          7
      83821             1001.000             5043.000           501050.000          6700000.000          9
      83822             1001.000             5044.000           501075.000          6700000.000          6
      83823             1001.000             5045.000           501100.000          6700000.000          6
      83824             1001.000             5046.000           501125.000          6700000.000          8
      83825             1001.000             5047.000           501150.000          6700000.000         10
      83826             1001.000             5048.000           501175.000          6700000.000          9
      83827             1001.000             5049.000           501200.000          6700000.000          8
      83828             1001.000             5050.000           501225.000          6700000.000          6
      83829             1001.000             5051.000           501250.000          6700000.000          7
      83830             1001.000             5052.000           501275.000          6700000.000          8
      83831             1001.000             5053.000           501300.000          6700000.000          9
      83832             1001.000             5054.000           501325.000          6700000.000         10
      83833             1001.000             5055.000           501350.000          6700000.000          6
      83834             1001.000             5056.000           501375.000          6700000.000          9
      83835             1001.000             5057.000           501400.000          6700000.000         10
      83836             1001.000             5058.000           501425.000          6700000.000          8
      83837             1001.000             5059.000           501450.000          6700000.000          7
      83838             1001.000             5060.000           501475.000          6700000.000          9
      83839             1001.000             5061.000           501500.000          6700000.000         10
      83840             1001.000             5062.000           501525.000          6700000.000          7
      83841             1001.000             5063.000           501550.000          6700000.000          9
      83842             1001.000             5064.000           501575.000          6700000.000          9
      83843             1001.000             5065.000           501600.000          6700000.000          9
      83844             1001.000             5066.000           501625.000          6700000.000          9
      83845             1001.000             5067.000           501650.000          6700000.000          8
      83846             1001.000             5068.000           501675.000          6700000.000         10
      83847             1001.000             5069.000           501700.000          6700000.000          9
      83848             1001.000             5070.000           501725.000          6700000.000          6
      83849             1001.000             5071.000           501750.000          6700000.000         10
      83850             1001.000             5072.000           501775.000          6700000.000          7
      83851             1001.000             5073.000           501800.000          6700000.000          8
      83852             1001.000             5074.000           501825.000          6700000.000          7
      83853             1001.000             5075.000           501850.000          6700000.000          9
      83854             1001.000             5076.000           501875.000          6700000.000         10
      83855             1001.000             5077.000           501900.000          6700000.000          7
      83856             1001.000             5078.000           501925.000          6700000.000          6
      83857             1001.000             5079.000           501950.000          6700000.000          9
      83858             1001.000             5080.000           501975.000          6700000.000          6
      83859             1001.000             5081.000           502000.000          6700000.000          8
      83860             1001.000             5082.000           502025.000          6700000.000         10
      83861             1001.000             5083.000           502050.000          6700000.000          9
      83862             1001.000             5084.000           502075.000          6700000.000         10
      83863             1001.000             5085.000           502100.000          6700000.000          8
      83864             1001.000             5086.000           502125.000          6700000.000          9
      83865             1001.000             5087.000           502150.000          6700000.000          8
      83866             1001.000             5088.000           502175.000          6700000.000          8
      83867             1001.000             5089.000           502200.000          6700000.000         10
